"كد دوره در نفت";"ترتيب";"كد دوره";"كد تخصصي";"ساعت";"عنوان دوره";"عنوان گروه تخصصي";"نوع دوره";"كد پيش نياز";"حداكثر ظرفيت";"اهداف دوره";"شرايط شركت كنندگان";"نحوه اجرا";"تجهيزات مورد نياز";"فضاي آموزشي";"روش تدريس";"منابع آموزشي";"شرايط مدرس";"مقطع تحصيلي و رشته";"تجربه تدريس";"تجربه حرفه اي";"سطح ارزيابي";"روش ارزيابي";"شاخص ارزيابي";"توضيحات";"شاخص ارزيابي1111";"شاخص ارزيابي11111"
619;52031;;"520";40;"كمپرسورهاي روتاري - تعميرات و نگهداري";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;10;"آشنائي با نگهداري، عيب يابي و تعميرات كمپرسورهاي روتاري";"كارشناسان و تكنسينهاي تعميرات- بهره برداري";"حضوري";;"كلاس-كارگاه";"تئوري-عملي";"جزوه";"تجربه حرفه اي الزامي است";"مهندسي مكانيك";"5";"10";"يادگيري";"آزمون";"60%";;;
620;52032;;"520";40;"كمپرسورهاي گريز از مركز - تعميرات و نگهداري";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;10;"آشنايي با اجزا و قطعات و نحوه عيب يابي و رفع عيب كمپرسورهاي گريز از مركز";"كارشناسان و تكنسينهاي بهره برداري و تعميرات";"حضوري";;"كلاس-كارگاه";"تئوري-عملي";"جزوه";"تجربه حرفه اي الزامي است";"مهندسي مكانيك";"5";"10";"يادگيري";"آزمون";"60%";;;
621;52034;;"520";16;"كمپرسورهاي گريز از مركز - نحوه تكميل Data Sheet بر اساس API 617";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";"52033";15;"توانايي نحوه تكميل data sheet  كمپرسورهاي گريز از مركز بر اساس API 617";" كارشناسان تعميرات-مهندسي-خدمات فني- مهندسي پروژه ها";"حضوري";;"كلاس";"تئوري";"جزوه";;"مهندسي مكانيك";"5";"15";"يادگيري";"آزمون";"60%";;;
622;52035;;"520";32;"فنها و بلوورها - اصول بهره برداري و تعمير و نگهداري";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;10;"نحوه بهره برداري و تعمير انواع فنها و بلوورهاي مورد استفاده در صنعت نفت";"تكنسينها و كارشناسان تعميرات و بهره برداري";"حضوري";;"كلاس-محيط كار";"تئوري";"جزوه";;"مهندسي مكانيك";"5";"10";"يادگيري";"آزمون";"60%";;;
623;52036;;"520";24;"فنها و بلوورها - اصول انتخاب و طراحي";"تجهيزات فرآيندي - دستگاههاي دوار";;;10;"شناخت و كاربرد و نحوه انتخابو اصول ايمني انواع فنها و دمنده ها و نحوه تعميرات و عيب يابي انها";"تكنسينها و كارشناسان تعميرات / بهره برداري / خدمات فني /مهندسي /مهندسي فرايند/مهندسي پروژه";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";;"مهندسي مكانيك-حرارت و سيالات / مهندسي شيمي";"3";"7";"يادگيري";"آزمون";"60%";;;
624;52037;;"520";32;"فنها و بلوورها - اختصاصي";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;8;"آشنايي با نحوه انتخاب و طراحي, بهره برداري ، تعمير و نگهداري فنها و بلورها ي خاص واحدهاي عملياتي  صنعت نفت";"تكنسينها و كارشناسان بهره برداري- تعميرات-مهندسي-خدمات فني- مهندسي پروژه ها";"حضوري";;"كلاس -محيط كار";"تئوري";"جزوه";;"مهندسي مكانيك";"3";"7";"يادگيري";"آزمون";"6060%";;;
625;52041;;"520";16;"آب بندهاي مكانيكي - نحوه تكميل Data Sheet بر اساس API 682";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";"52039";15;"توانايي نحوه تكميل data sheet  كمپرسورهاي گريز از مركز بر اساس API 682";" كارشناسان تعميرات-مهندسي-خدمات فني- مهندسي پروژه ها";"حضوري";;"كلاس";"تئوري";"جزوه";;"مهندسي مكانيك";"5";"15";"يادگيري";"آزمون";"60%";;;
626;52042;;"520";24;"روتور -  تعميرات و نگهداري بر اساس API 687";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;8;"شناخت عيوب و رفع آنها در انواع روتورها بر اساس 687";"كارشناسان تعميرات -مهندسي";"حضوري";;"كلاس-كارگاه";"تئوري";"جزوه";;"مهندسي مكانيك";"5";"10";"يادگيري";"آزمون";"60%";;;
627;52047;;"520";24;"تحويل و نصب تجهيزات دوار";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;10;"شناخت نحوه تحويل و نصب تجهيزات دوار در صنعت نفت";"كارشناسان بهره برداري -مهندسي پروژه";"حضوري";;"كلاس";"تئوري";"جزوه";;"مهندسي مكانيك";"5";"15";"يادگيري";"آزمون";"60%";;;
628;52048;;"520";32;"تست و راه اندازي تجهيزات دوار بر اساس ASME PTC";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;15;"آشنايي با ساختار Asme PTC";"كارشناسان ادارات تعميرات- مهندسي- بازرسي فني- خدمات فني-مهندسي پروژه";"حضوري";;"كلاس";"تئوري";"جزوه";;"مهندسي مكانيك";"5";"15";"يادگيري";"آزمون";"60%";;;
629;51010;;"510";24;"مبدلهاي حرارتي - اصول و مباني";"تجهيزات فرآيندي - دستگاههاي ثابت";"عمومي";;15;"آشنايي فراگيران با مبدلهاي حرارتي";"كاركنان واحدهاي عملياتي/ فني / بدواستخدام";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";"تجربه حرفه اي الزامي است";"كارشناسي مهندسي مكانيك / شيمي";"3";"5";"يادگيري";"آزمون";"60%";;;
