"كد دوره";"كد دوره در نفت";"کد دوره در پالايش و پخش";"کد دوره در گاز";"کد دوره در پتروشيمي"
20204;-;;;
20205;21056;;;
20206;14751;;;
20207;22753;;;
20208;21879;;;
20209;21878;;;
20210;-;;;
20211;17960;;;
20212;18656;;;
20213;-;;;
20214;13576;;;
20215;19035;;;
20216;-;;;
20217;-;;;
20218;23777;;;
20219;23776;;;
20220;21114;;;
20001;14735;;2872-3873-1015-1091;
20002;-;;;
20003;20964;;;
20004;14725;;;
20005;14748;;;
20006;-;;;
20007;-;;;
20008;23888;;;
20009;23910;;;
20010;12172;;;
6001;16302;;2804;
6002;16303;;2805;
6003;16304;;2806;
6004;16305;;2807;
6005;16306;;2808;
6006;16307;;2809;
6007;16308;;2810;
6008;16309;;2811;
6009;16310;;2812;
6010;16311;;2813;
6011;16312;;2814;
6012;16313;;2815;
6013;16314;;2816;
6014;16315;;2817;
6015;16316;;2818;
6016;16317;;2819;
6017;16318;;2842-2843-2844-2820;
6018;16319;;-;
6019;;;-;
6020;11910;;;
6021;21376;;;
6022;11926;;;
6023;23956;;;
63001;21747;;;
63002;21751;;;
63003;20318;;;
63004;-;;;
63005;18577;;;
63006;18572;;;
63007;22900;;;
63008;-;;;
63009;-;;;
63010;21727;;;
63011;18575;;;
63012;-;;;
63013;-;;;
63014;-;;;
63015;23464;;;
63016;17616;;;
63017;17617;;;
63018;21748;;;
63019;-;;;
63020;-;;;
63021;17614;;;
63022;-;;;
63023;21794;;;
63024;21726;;;
63025;22895;;;
63026;-;;;
63027;21728;;;
63028;-;;;
63029;18526;;;
63030;17619;;;
63031;18578;;;
63032;-;;;
63033;22894;;;
63034;18525;;;
63035;17299;;;
63036;-;;;
63037;22901;;;
63038;17602;;;
63039;17892;;;
63040;18529و17213;;;
63041;23465;;;
63042;-;;;
63043;-;;;
63044;18523;;;
63045;17612;;;
63046;22899;;;
63047;21740;;;
63048;-;;;
63049;;;;
63050;;;;
64001;20245;;;
64002;15544;;;
64003;23434;;;
64004;-;;;
64005;17272;;;
64006;15526;;;
64007;-;;;
64008;23466;;;
64009;23468;;;
64010;18842;;;
64011;-;;;
64012;17249;;;
10001;8101;;1034;
10002;11535;;1038;
10003;11559;;1376;
10004;11592;;1041-40039-1040;
10005;11792;;1019-1531;
10006;16992;;2102-40002;
85301;23625;;;
85302;18454;;;
85303;21146;;;
85304;20259;;;
85305;-;;;
85306;-;;;
85307;12389;;;
85308;18450;;;
85309;20683;;;
85310;-;;;
85311;-;;;
85312;-;;;
85313;-;;;
85314;-;;;
85001;-;;;
85002;-;;;
85003;-;;;
85004;20997;;;
85005;-;;;
85006;-;;;
85007;-;;;
85008;21540;;;
85009;215401;;;
85010;-;;;
85011;23361;;;
85012;-;;;
85013;-;;;
85014;12001;;;
85015;-;;;
85016;-;;;
85017;-;;;
85018;12778;;;
85019;20490;;;
85020;23634;;;
85021;12843;;;
85022;18357;;;
85023;18350;;;
85024;18348;;;
85025;18349;;;
85026;20272;;;
85027;18344;;;
85028;183451;;;
85029;18345;;;
85030;18453;;;
85031;11975;;;
85032;-;;;
85033;23658;;;
85034;-;;;
85035;38026;;;
85036;21330;;;
85037;18449;;;
85038;-;;;
85039;-;;;
85040;-;;;
85041;-;;;
85042;-;;;
85043;11994;;;
85044;11993;;;
85045;-;;;
85046;11995;;;
85901;12039;;;
85902;17438;;;
85903;13055;;;
85904;22855;;;
85905;-;;;
85906;-;;;
85907;-;;;
85908;13057;;;
85909;13058;;;
85910;23360;;;
85601;10672;;;
85602;12381;;;
85603;18141;;;
85604;11768;;;
85605;12560;;;
85606;12559;;;
85607;605;;;
85608;-;;;
85609;-;;;
85610;23770;;;
85611;23767;;;
85612;23774;;;
85613;-;;;
85614;-;;;
85615;-;;;
85616;-;;;
85617;-;;;
85618;-;;;
85619;-;;;
85620;23772;;;
85621;23773;;;
85622;23775;;;
85623;20351;;;
85624;23771;;;
85625;21150;;;
85626;13474;;;
85627;12407;;;
85628;23765;;;
85629;23766;;;
85630;18205;;;
85631;10064;;;
85632;13054;;;
81301;;;;
81302;;;;
81303;;;;
81304;;;;
81305;;;;
81306;;;;
81307;;;;
81308;;;;
81309;;;;
81310;;;;
81311;;;;
81312;;;;
81313;;;;
81314;;;;
81315;;;;
81316;;;;
81317;;;;
81318;;;;
81319;;;;
81320;;;;
81321;;;;
81322;;;;
81323;;;;
81324;;;;
81325;;;;
81326;;;;
81327;;;;
81328;;;;
81001;;;5877;
81002;;;5486;
81003;;;5544;
81004;;;5854;
81005;;;5716;
81006;;;7047;
81007;;;7224;
81008;;;5923;
81009;;;5435;
81010;;;-;
81011;;;-;
81012;;;;
81013;;;;
81014;21313;;;
81015;;;;
21001;;;;
21002;;;;211006
21003;;;;
21004;;;;211100
21005;;;;
21006;;;;211030
21007;;;;
21008;;;80415;
21009;;;;
21010;18432;;;
21011;;;;
21012;;;;211087
21013;;;80429;
21014;;;;
21015;17396;;;
21016;;19439;;
35001;21831;;;
35002;23571;;;
35003;323;;;
35004;18962;;;
35005;324;;;
35006;317;;;
35007;325;;;
35008;334;;;
35009;306;;;
35010;318;;;
35011;322;;;
35012;326;;;
35013;319;;;
35014;321;;;
35015;320;;;
35016;328;;;
35017;329;;;
35018;330;;;
35019;332;;;
35020;327;;;
35021;333;;;
35022;331;;;
39001;-;;;
39002;-;;;
39003;-;;;
39004;16696;;;
39005;-;;;
39006;-;;;
39007;-;;;
39008;-;;;
39009;-;;;
39010;-;;;
39011;-;;;
39012;-;;;
39013;-;;;
39014;-;;;
39015;-;;;
39016;-;;;
39017;-;;;
39018;-;;;
39019;-;;;
39020;-;;;
39021;-;;;
39022;-;;;
39023;-;;;
39024;-;;;
39025;-;;;
39026;-;;;
39027;-;;;
39028;-;;;
39029;-;;;
39030;-;;;
39031;-;;;
39032;-;;;
39033;20222;;;
39034;20226;;;
39035;-;;;
39036;-;;;
39037;-;;;
39038;-;;;
39039;-;;;
39040;-;;;
39041;-;;;
39042;-;;;
39043;-;;;
39044;-;;;
39045;-;;;
39046;-;;;
39047;-;;;
39048;-;;;
32001;20421;;;
32002;22545;;;
32003;-;;;
32004;-;;;
32005;-;;;
32006;-;;;
32007;-;;;
32008;-;;;
32009;-;;;
32010;-;;;
32011;-;;;
32012;-;;;
32013;-;;;
33001;16926;;;
33002;-;;;
33003;-;;;
33004;-;;;
33005;17308;;;
33006;8508;;;
33007;-;;;
34001;16444;;;
34002;23583;;;
34003;17025;;;
34004;17582;;;
34005;-;;;
37001;38041;;;
37002;-;;;
37003;-;;;
37004;-;;;
37005;-;;;
37006;-;;;
37007;-;;;
37008;-;;;
37009;-;;;
37010;-;;;
37011;18199;;;
37012;-;;;
37013;-;;;
37014;-;;;
37015;-;;;
37016;-;;;
37017;-;;;
37018;-;;;
37019;17699;;;
37020;23022;;;
37021;18204;;;
37022;-;;;
37023;-;;;
37024;-;;;
37025;-;;;
37026;-;;;
37027;-;;;
37028;-;;;
37029;21827;;;
37030;17665;;;
37031;23011;;;
37032;-;;;
37033;-;;;
37034;15698;;;
37035;15737;;;
37036;-;;;
37037;-;;;
37038;-;;;
37039;-;;;
37040;-;;;
37041;-;;;
37042;-;;;
37043;-;;;
37044;23563;;;
37045;23567;;;
36001;21062;;;
36002;23894;;;
36003;16693;;;
36004;-;;;
36005;-;;;
36006;17592;;;
36007;22318;;;
36008;-;;;
36009;-;;;
36010;12443;;;
36011;-;;;
36012;23581;;;
36013;21065;;;
36014;17561;;;
36015;22317;;;
36016;-;;;
36017;22543;;;
36018;23574;;;
36019;-;;;
36020;20937;;;
36021;17027;;;
36022;-;;;
36023;-;;;
36024;23208;;;
36025;17581;;;
36026;-;;;
36027;-;;;
36028;22723;;;
36029;20725;;;
30001;18198;;;
30002;-;;;
30003;22848;;;
30004;-;;;
30005;14009;;;
30006;-;;;
30007;-;;;
30008;-;;;
30009;-;;;
30010;-;;;
30011;21909;;;
30012;-;;;
31001;-;;;
31002;17571;;;
31003;12430;;;
31004;13592;;;
31005;21944;;;
31006;-;;;
31007;-;;;
31008;17057;;;
31009;-;;;
31010;15725;;;
31011;-;;;
31012;-;;;
7001;20785;;2001;
7002;20786;;2009-2010-2011-2087-2088;
7003;20787;;2007;
7004;20788;;2028-2032-2033;
7005;20789;;2026-2030;
7006;20790;;2034;
7007;20791;;2080-2081-3854;
7101;-;;2114;
7102;-;;-;
7103;23714;;2029-2033;
7104;-;;2027-2031;
7105;20811;;3857-3087;
7106;-;;2090-30080-2129-3147-1819-80505-3147-2129-1821;
7107;18363;;2043;
7108;16859;;2102;
18001;22316;;-;
18002;18971;;-;
18003;-;;1136;
18004;21627;;-;
18005;11586;;1512;
18006;22243;;-;
18007;-;;-;
18008;18973;;-;
18009;-;;-;
18010;12811;;-;
18011;14786;;-;
18012;-;;-;
18013;-;;-;
18014;21673;;1272;
18015;-;;-;
18016;-;;-;
18017;-;;-;
18018;18970;;1268-1270-1269;
18019;-;;-;
11001;-;;3840-42012;
11002;-;;1533;
11003;11343;;1527;
11004;11360;;1526-1362-3844;
11005;11368;;1049-1073;
11006;11371;;3845-3013;
11007;11378;;1065;
11008;-;;-;
11009;11380;;1534-1078;
11010;11397;;3043-1036-3847;
11011;11406;;1054;
11012;-;;1055;
11013;11418;;1093;
11014;-;;-;
